id,siteURL,mastertype
220d8aac2f9242f3ba3c039293428d70_0a12976891784bbfa6e005fa4dee6b43,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_0a12976891784bbfa6e005fa4dee6b43.html,
220d8aac2f9242f3ba3c039293428d70_422c746b0a1a46f39a76572ac63e4c51,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_422c746b0a1a46f39a76572ac63e4c51.html,
220d8aac2f9242f3ba3c039293428d70_1422cc69451f4d6d963ca1e16f6367bf,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_1422cc69451f4d6d963ca1e16f6367bf.html,
220d8aac2f9242f3ba3c039293428d70_0201f6e3833942f39396aee1ce286264,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_0201f6e3833942f39396aee1ce286264.html,
220d8aac2f9242f3ba3c039293428d70_8fcb4e7074f8499690b80f8f7db80696,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_8fcb4e7074f8499690b80f8f7db80696.html,
220d8aac2f9242f3ba3c039293428d70_7c4666cfb23746e8a4f6408413cf910c,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_7c4666cfb23746e8a4f6408413cf910c.html,
220d8aac2f9242f3ba3c039293428d70_9f92c8144c4f441eafd09a7e286b7b00,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_9f92c8144c4f441eafd09a7e286b7b00.html,
220d8aac2f9242f3ba3c039293428d70_1c80c8802afc4e5fa254ab26bf53d5b2,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_1c80c8802afc4e5fa254ab26bf53d5b2.html,
220d8aac2f9242f3ba3c039293428d70_6b5175b3fbbc479fb278ae911c8468d8,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_6b5175b3fbbc479fb278ae911c8468d8.html,
220d8aac2f9242f3ba3c039293428d70_6b974855b5aa463e91928e6a1c346552,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_6b974855b5aa463e91928e6a1c346552.html,
220d8aac2f9242f3ba3c039293428d70_d61cb1a4015c4eb58e4669203299ed20,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_d61cb1a4015c4eb58e4669203299ed20.html,
220d8aac2f9242f3ba3c039293428d70_b32af90f5767430480bde20acf2099fb,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_b32af90f5767430480bde20acf2099fb.html,
220d8aac2f9242f3ba3c039293428d70_1a6d6c6349fc4385ad3c74e466637e46,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_1a6d6c6349fc4385ad3c74e466637e46.html,
220d8aac2f9242f3ba3c039293428d70_88421578547a400da37836864ff06be8,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_88421578547a400da37836864ff06be8.html,
220d8aac2f9242f3ba3c039293428d70_52d7403246e64a82906692c4561ab819,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_52d7403246e64a82906692c4561ab819.html,
220d8aac2f9242f3ba3c039293428d70_1596784f765545e194eb6629543c6a45,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_1596784f765545e194eb6629543c6a45.html,
220d8aac2f9242f3ba3c039293428d70_8492965a366e45cfaebecc391ffc16d4,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_8492965a366e45cfaebecc391ffc16d4.html,
220d8aac2f9242f3ba3c039293428d70_70ea680a7e30441faf285132e3c9ddd9,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_70ea680a7e30441faf285132e3c9ddd9.html,
220d8aac2f9242f3ba3c039293428d70_a1cb4c1f8fc844f7b4623e305102bcda,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_a1cb4c1f8fc844f7b4623e305102bcda.html,
220d8aac2f9242f3ba3c039293428d70_0b69050239c240fd9e7e549c83f68ba3,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_0b69050239c240fd9e7e549c83f68ba3.html,
220d8aac2f9242f3ba3c039293428d70_ff80ef1fdd1f4e21beaf893f4b5d6eda,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_ff80ef1fdd1f4e21beaf893f4b5d6eda.html,
220d8aac2f9242f3ba3c039293428d70_4ddfd2ee43934db1a97d2a0aae0a7291,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_4ddfd2ee43934db1a97d2a0aae0a7291.html,
220d8aac2f9242f3ba3c039293428d70_800e725d6a4447469687c035491b79e1,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_800e725d6a4447469687c035491b79e1.html,
7c79da8daf81441e9efca95a4f2dd430_03dbfabae1e447d9b1997f175442f97f,http://ilexue.yonyou.com/kng/course/package/video/7c79da8daf81441e9efca95a4f2dd430_03dbfabae1e447d9b1997f175442f97f.html,
632cb1a2f48c4577b73721ac6d54c434_a0cb7804a5e1407c8349a4ddb65fbb39,http://ilexue.yonyou.com/kng/course/package/video/632cb1a2f48c4577b73721ac6d54c434_a0cb7804a5e1407c8349a4ddb65fbb39.html,
f03865f465c64f1b8f251f1502247bff_0580e11a547d420b9aa53b7de2b5711a,http://ilexue.yonyou.com/kng/course/package/video/f03865f465c64f1b8f251f1502247bff_0580e11a547d420b9aa53b7de2b5711a.html,
256f651a3f784b8ca3a744595bf0586a_ea652a9ea61b4efc81b82340c8c0e465,http://ilexue.yonyou.com/kng/course/package/video/256f651a3f784b8ca3a744595bf0586a_ea652a9ea61b4efc81b82340c8c0e465.html,
220d8aac2f9242f3ba3c039293428d70_8df2d15977cb46b5a5114d76996f25db,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_8df2d15977cb46b5a5114d76996f25db.html,
220d8aac2f9242f3ba3c039293428d70_0422417064c44cea95af6050d2ae1d03,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_0422417064c44cea95af6050d2ae1d03.html,
220d8aac2f9242f3ba3c039293428d70_ff12d87aa61c4ec8ba8afe926dce006d,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_ff12d87aa61c4ec8ba8afe926dce006d.html,
b14132612d0147a88e8155178b55c5d8_c38adb17651741d4ba702aa6e075d894,http://ilexue.yonyou.com/kng/course/package/video/b14132612d0147a88e8155178b55c5d8_c38adb17651741d4ba702aa6e075d894.html,
c87754bc3ef74cea93643c78d15da074_cef2d27dc0ea4861bd7e835d0df15033,http://ilexue.yonyou.com/kng/course/package/video/c87754bc3ef74cea93643c78d15da074_cef2d27dc0ea4861bd7e835d0df15033.html,
220d8aac2f9242f3ba3c039293428d70_b1106fafd799455b8813c2c26a41d2a0,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_b1106fafd799455b8813c2c26a41d2a0.html,
220d8aac2f9242f3ba3c039293428d70_10d259ac629744b28cba94b4ee908a1a,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_10d259ac629744b28cba94b4ee908a1a.html,
220d8aac2f9242f3ba3c039293428d70_28a891b9b472437a89957730762bbf3a,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_28a891b9b472437a89957730762bbf3a.html,
220d8aac2f9242f3ba3c039293428d70_77cd6993678f461b9244c16cd9723426,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_77cd6993678f461b9244c16cd9723426.html,
220d8aac2f9242f3ba3c039293428d70_981ed42d795840efa489b990f2cb8254,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_981ed42d795840efa489b990f2cb8254.html,
220d8aac2f9242f3ba3c039293428d70_374d997b20e04ffe8df43a683f55c5b7,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_374d997b20e04ffe8df43a683f55c5b7.html,
220d8aac2f9242f3ba3c039293428d70_fed17d9c5f4c40669f46b9a00e22857b,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_fed17d9c5f4c40669f46b9a00e22857b.html,
220d8aac2f9242f3ba3c039293428d70_d74a8c8b9b894065b52e80792721e78a,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_d74a8c8b9b894065b52e80792721e78a.html,
220d8aac2f9242f3ba3c039293428d70_6790cbcefca44415802459e2bafedc6d,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_6790cbcefca44415802459e2bafedc6d.html,
220d8aac2f9242f3ba3c039293428d70_0c5370265eed48558543e43b57c9aa0b,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_0c5370265eed48558543e43b57c9aa0b.html,
5170c46150e44065a464789d00791ad5_df49534f74c546e98f3c344fcaf5f46c,http://ilexue.yonyou.com/kng/course/package/video/5170c46150e44065a464789d00791ad5_df49534f74c546e98f3c344fcaf5f46c.html,
e0be4346371f4f7c8247e060b1795471_b05da01e631940038098b18b90657f11,http://ilexue.yonyou.com/kng/course/package/video/e0be4346371f4f7c8247e060b1795471_b05da01e631940038098b18b90657f11.html,
220d8aac2f9242f3ba3c039293428d70_abc5fd592c464440a4b9617c9a268714,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_abc5fd592c464440a4b9617c9a268714.html,
220d8aac2f9242f3ba3c039293428d70_32fe02fa916a4e9d80761492b9943c33,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_32fe02fa916a4e9d80761492b9943c33.html,
220d8aac2f9242f3ba3c039293428d70_a020ae413ce24cb6adf7b47da348e804,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_a020ae413ce24cb6adf7b47da348e804.html,
220d8aac2f9242f3ba3c039293428d70_ab0123cbf5e045b090b8b49c3e6ffc29,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_ab0123cbf5e045b090b8b49c3e6ffc29.html,
220d8aac2f9242f3ba3c039293428d70_922c5491a3474268ac40c0816600d454,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_922c5491a3474268ac40c0816600d454.html,
220d8aac2f9242f3ba3c039293428d70_9c62b4da2e35433b96dc31125dbccc8e,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_9c62b4da2e35433b96dc31125dbccc8e.html,
220d8aac2f9242f3ba3c039293428d70_000e24e1451a48dbb1e30f64b04b7a58,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_000e24e1451a48dbb1e30f64b04b7a58.html,
220d8aac2f9242f3ba3c039293428d70_b306c72b62b84d9f914e6f15ef91582c,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_b306c72b62b84d9f914e6f15ef91582c.html,
220d8aac2f9242f3ba3c039293428d70_1a53f1ad9d1c4540922cc8dbe9513c2c,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_1a53f1ad9d1c4540922cc8dbe9513c2c.html,
2aad892861f9461b94f999817ef81fd9_b9292e1c7a9a4eb7b5250d935e89d75a,http://ilexue.yonyou.com/kng/course/package/video/2aad892861f9461b94f999817ef81fd9_b9292e1c7a9a4eb7b5250d935e89d75a.html,
03e7e59f586e4f8a8938170894e01f74_33d2d17455294123a477abd068bd9cc8,http://ilexue.yonyou.com/kng/course/package/video/03e7e59f586e4f8a8938170894e01f74_33d2d17455294123a477abd068bd9cc8.html,
c68580e995414c4a9d93cf2993f7dc9f_48c812b930794a6790268d80820794b3,http://ilexue.yonyou.com/kng/course/package/video/c68580e995414c4a9d93cf2993f7dc9f_48c812b930794a6790268d80820794b3.html,
389c2262f5b742ea8e341d849c6f9d44_5d77546e8e3e4e4885cbf588b68a2b21,http://ilexue.yonyou.com/kng/course/package/video/389c2262f5b742ea8e341d849c6f9d44_5d77546e8e3e4e4885cbf588b68a2b21.html,
389c2262f5b742ea8e341d849c6f9d44_aa3e0527b7894326952b5d562002896a,http://ilexue.yonyou.com/kng/course/package/video/389c2262f5b742ea8e341d849c6f9d44_aa3e0527b7894326952b5d562002896a.html,
220d8aac2f9242f3ba3c039293428d70_cd198ffbce944e009b5402073fcb5635,http://ilexue.yonyou.com/kng/course/package/video/220d8aac2f9242f3ba3c039293428d70_cd198ffbce944e009b5402073fcb5635.html,
